sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,soil_source_latitude,soil_source_longitude,soil_ph,soil_calcium_extractable,soil_magnesium_extractable,soil_carbon_organic,soil_iron_extractable,soil_match_distance_km,glim_id,lithology_detail,lithology_code,lithology_class,lithology_match_method,lithology_match_distance_km
MB18-108,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Kwa Pailoti,Spring,-3.36715,36.762,2.1,,257.0,145.0,YES,NO,Elevation: 1394m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,6.021284587729248,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-109,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Ambureni,Kwa Laizer,Spring,-3.3736,36.76317,1.6,,254.0,145.0,YES,NO,Elevation: 1349m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,5.386517060834667,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-110,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoanrua - Shambarai,Machumba,Spring,-3.38834,36.7682,0.93,,260.0,157.0,NO,NO,Elevation: 1277m,January-February 2015,2015,short_dry,66.80241919,-3.40985,36.79536,7.14,4405.279,860.083,16.12,104.086,3.8483017570135627,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-111,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Ndulumanga,Ndulumanga A,Spring,-3.35465,36.8479,1.3,,248.0,136.4,NO,NO,Elevation: 1195m,January-February 2015,2015,short_dry,71.07786417,-3.34863,36.87573,6.383,3485.21,446.453,49.91,101.641,3.1609575795329996,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-112,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Ndulumanga,Ndulumanga B,Spring,-3.35357,36.84851,1.3,,250.0,137.5,NO,NO,Elevation: 1220m,January-February 2015,2015,short_dry,71.07786417,-3.34863,36.87573,6.383,3485.21,446.453,49.91,101.641,3.0710791031848204,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-113,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - USA,Sangananu 1,Spring,-3.34111,36.8588,1.5,,194.0,106.81,NO,NO,Elevation: 1255m,January-February 2015,2015,short_dry,71.62697315,-3.34863,36.87573,6.383,3485.21,446.453,49.91,101.641,2.0569573942335784,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-114,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - USA,Sangananu 2,Spring,-3.33925,36.86167,1.7,,189.0,104.01,YES,NO,Elevation: 1270m,January-February 2015,2015,short_dry,71.62697315,-3.34863,36.87573,6.383,3485.21,446.453,49.91,101.641,1.8771738966154143,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-115,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nkoanekoli,Nkoanikole 1,Spring,-3.34034,36.85592,1.2,,219.0,120.45,NO,NO,Elevation: 1276m,January-February 2015,2015,short_dry,71.62697315,-3.34863,36.87573,6.383,3485.21,446.453,49.91,101.641,2.3844139553431454,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-116,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nkoanekoli,Muralikoka 2,Spring,-3.33606,36.86441,5.0,,328.0,180.4,YES,YES,Elevation: 1277m,January-February 2015,2015,short_dry,71.62697315,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,1.8351348826233587,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-117,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nkoanekoli,Usa River,River,-3.33545,36.86257,3.0,,232.0,127.6,YES,NO,Elevation: 1270m,January-February 2015,2015,short_dry,71.62697315,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,2.0264329152215206,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-118,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nkoanekoli,Mraakare River,River,-3.33565,36.86317,4.9,,304.0,167.2,YES,YES,Elevation: 1275m,January-February 2015,2015,short_dry,71.62697315,-3.33308,36.88067,7.117,3551.811,582.023,44.78,91.943,1.9635265519102247,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-119,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nshupu,Ngaresero Lodge,Spring,-3.35969,36.83775,1.6,,186.0,114.95,YES,NO,Elevation: 1235m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.272052482256002,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-120,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nshupu,Nak I,Spring,-3.36589,36.83671,1.6,,200.0,116.05,YES,NO,Elevation: 1205m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.8477589087123816,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-121,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nshupu,Nak II,Spring,-3.36633,36.83761,1.6,,209.0,116.6,YES,NO,Elevation: 1224m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.9312153183080394,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-122,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoaranga - Nshupu,Nak III,Spring,-3.36561,36.83869,1.7,,206.0,116.05,YES,NO,Elevation: 1205m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.907072247983705,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-123,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoarisambu - Mfulonyi,Kumu,Spring,-3.33834,36.77346,0.74,,153.0,83.99,NO,NO,Elevation: 1539m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,5.604197839282983,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-124,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoarisambu - Mfulonyi,Mfulonyi,Spring,-3.33834,36.77461,0.66,,151.0,82.83,NO,NO,Elevation: 1543m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,5.477071254289559,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-125,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoarisambu - Mfulonyi,Mfulonyi,Spring,-3.33881,36.77557,0.71,,156.0,85.58,NO,NO,Elevation: 1523m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,5.3761301520713385,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-126,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Nkoarisambu - Mburu Kuku,Masee,Spring,-3.31503,36.77085,0.86,,116.0,70.35,NO,NO,Elevation: 1873m,January-February 2015,2015,short_dry,88.10014057,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,6.231150565802892,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-127,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Poli - Poli,Mitateni,Spring,-3.35595,36.80382,2.2,,245.0,134.75,YES,NO,Elevation: 1297m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.3099510114390713,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-128,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Poli - Poli,Makilele,Spring,-3.35542,36.80437,1.8,,265.0,145.75,YES,NO,Elevation: 1308m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.2253172109822494,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-129,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Poli - Poli,Kuluwo,Spring,-3.3549,36.8054,1.7,,268.0,147.4,YES,NO,Elevation: 1310m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,3.1063473964521338,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-130,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Poli - Poli,Kivulini,Spring,-3.3519,36.80667,0.82,,254.0,139.7,NO,NO,Elevation: 1306m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,2.76427514307593,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
MB18-131,Mbabaye et al. 2018 (Tanzania J. Science 44(3):72-92),"Meru, Arusha Region",Poli - Ndatu,Nkura,Spring,-3.35775,36.81234,0.87,,279.0,153.45,NO,NO,Elevation: 1274m,January-February 2015,2015,short_dry,71.07786417,-3.3338,36.82374,7.772,3197.227,1043.011,25.29,85.938,2.9484940124588714,AFR9077,vi____,vi,intermediate_volcanic_rocks,within_polygon,0.0
