sample_id,source_paper,district_region,ward_location,site_name,source_type,latitude,longitude,fluoride_mg_L,pH,EC_uS_cm,TDS_ppm,above_WHO_limit_1_5,above_TZ_limit_4_0,notes,sample_collection_date,year,season,total_season_rain,glim_id,lithology_code,lithology_class,lithology_detail,soil_ph,calcium_extractable,magnesium_extractable,carbon_organic,iron_extractable,distance_to_soil
CB23-36,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,IGITUKA,Groundwater/borehole,-5.1127,34.767033,0,7.68,189,107,NO,NO,Nitrate: 20.2 ppm,2021 - 2022,2022,long_dry,0.613183891,AFR7274,mt,metamorphic_rocks,mt____,,,,,,9794.124129
CB23-37,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,MAYUTA,Groundwater/borehole,-5.341267,34.772667,2.45,7.58,1303,693,YES,NO,Nitrate: 3.8 ppm,2021 - 2022,2022,long_dry,3.056677854,AFR7274,mt,metamorphic_rocks,mt____,7.956,6095.038,813.071,8.15,58.496,979.6480786
CB23-38,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-NORTH-SOUTH,AGONDI,Groundwater/borehole,-5.722117,34.698133,2.59,8.43,375,150,YES,NO,Nitrate: 47.0 ppm,2021 - 2022,2022,long_dry,1.796059863,AFR9437,ss,siliciclastic_sedimentary_rocks,ssmx__,,,,,,5904.303045
CB23-39,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-EAST-WEST,MAWENI,Groundwater/borehole,-5.879733,35.1252,0.37,8.11,335,183,NO,NO,Nitrate: 29.8 ppm,2021 - 2022,2022,long_dry,0.011265388,AFR9465,su,unconsolidated_sediments,suad__,,,,,,21185.08795
CB23-40,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-EAST-WEST,SOLYA,Groundwater/borehole,-5.82885,34.966967,1.87,8.18,1064,539,YES,NO,Nitrate: 17.6 ppm,2021 - 2022,2022,long_dry,0.307970369,AFR7274,mt,metamorphic_rocks,mt____,,,,,,12215.13284
CB23-41,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-EAST-WEST,TAMBUKARELI,Groundwater/borehole,-5.755567,34.8416,1.77,7.85,774,407,YES,NO,Nitrate: 33.4 ppm,2021 - 2022,2022,long_dry,1.813819192,AFR7274,mt,metamorphic_rocks,mt____,,,,,,5460.514569
CB23-42,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-EAST-WEST,AGONDI,Groundwater/borehole,-5.722117,34.698133,2.59,8.43,375,150,YES,NO,Nitrate: 47.0 ppm,2021 - 2022,2022,long_dry,1.796059863,AFR9437,ss,siliciclastic_sedimentary_rocks,ssmx__,,,,,,5904.303045
CB23-43,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-EAST-WEST,PENTAGONI,Groundwater/borehole,-5.696733,34.494033,0.18,8.06,209,118,NO,NO,Nitrate: 15.4 ppm,2021 - 2022,2022,long_dry,6.61955045,AFR9437,ss,siliciclastic_sedimentary_rocks,ssmx__,7.0615,3177.8365,647.976,14.26,160.374,535.7938033
CB23-44,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Singida,SINGIDA-EAST-WEST,KAZIKAZI,Groundwater/borehole,-5.591333,34.234017,0.21,7.84,447,225,NO,NO,Nitrate: 7.1 ppm,2021 - 2022,2022,long_dry,8.525287464,AFR9437,ss,siliciclastic_sedimentary_rocks,ssmx__,,,,,,25379.36764
CB23-45,"Chondo & Banyikwa 2023 (Data in Brief, DOI: 10.1016/j.dib.2023.109239)",Tabora,TABORA-NORTH-SOUTH,KITONGO,Groundwater/borehole,-4.212517,33.185417,0.64,7.56,661,21.9,NO,NO,Nitrate: 62.3 ppm,2021 - 2022,2022,long_dry,5.690931022,AFR7274,mt,metamorphic_rocks,mt____,,,,,,35019.70206
